"",15
"Algeria",5
"Argentina",38
"Australia",233
"Austria",15
"Bangladesh",4
"Belarus",16
"Belgium",10
"Belize",7
"Bolivia",1
"Bosnia and Herzegovina",10
"Brazil",146
"British Virgin Islands",243
"Brunei",7
"Bulgaria",26
"Cameroon",3
"Canada",187
"Cayman Islands",1
"Chile",83
"China",1778
"Colombia",5
"Costa Rica",2
"Croatia",3
"Curaçao",1
"Cyprus",15
"Czech Republic",87
"Denmark",44
"Dominican Republic",1
"Ecuador",3
"Egypt",2
"Estonia",5
"Finland",19
"France",408
"Gambia",1
"Georgia",4
"Germany",934
"Greece",7
"Hong Kong",376
"Hungary",41
"Iceland",13
"India",50
"Indonesia",49
"Iran",11
"Ireland",159
"Israel",21
"Italy",147
"Ivory Coast",1
"Japan",123
"Kazakhstan",10
"Latvia",18
"Lebanon",1
"Luxembourg",23
"Macao",2
"Macedonia",2
"Malaysia",46
"Mexico",20
"Mongolia",1
"Nepal",1
"Netherlands",366
"New Zealand",15
"Norway",17
"Pakistan",4
"Panama",5
"Philippines",2
"Poland",167
"Portugal",137
"Qatar",3
"Republic of Korea",273
"Republic of Lithuania",9
"Republic of Moldova",3
"Romania",93
"Russia",528
"Serbia",10
"Seychelles",3
"Singapore",78
"Slovak Republic",13
"Slovenia",8
"South Africa",40
"Spain",93
"Sudan",1
"Sweden",42
"Switzerland",384
"Syria",1
"Taiwan",30
"Thailand",52
"Turkey",148
"Ukraine",155
"United Arab Emirates",8
"United Kingdom",345
"United States",7072
"Venezuela",1
"Vietnam",62
